policy,requested_entries,retained_entries,value_bytes,actual_metric_bytes,value_only_bytes,value_plus_key_bytes,accounted_bytes_per_entry,allocated_delta,active_delta,resident_delta,actual_metric_bytes_per_entry,allocated_bytes_per_entry
key-value-baseline,1560000,1560000,12,,18720000,43680000,28,174577296,180928512,182222848,,111.91
lru,1560000,1560000,12,18720000,18720000,43680000,28,266412568,266420224,273514496,12.00,170.78
s3-fifo,1560000,1560000,12,18720000,18720000,43680000,28,280017800,280084480,290799616,12.00,179.50
tiny-lfu,1560000,1560000,12,18720000,18720000,43680000,28,690779672,691896320,701267968,12.00,442.81
